player1,player2,SetNo,P1GamesWon,P2GamesWon,P1Score,P2Score,video_name
NO MATCH,NO MATCH,NO MATCH,NO MATCH,NO MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_39.9_284976.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_40.6_516816.jpg
NO MATCH,NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_43.6_66007.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_43.9_33156.jpg
NO MATCH,NO MATCH,NO MATCH,NO MATCH,NO MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_44.0_320701.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_44.4_517766.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_44.8_324490.jpg
MATCH,MATCH,NO MATCH,NO MATCH,NO MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_44.9_307302.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_44.9_428688.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_45.0_326094.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_45.1_291318.jpg
NO MATCH,NO MATCH,NO MATCH,NO MATCH,NO MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_45.2_120596.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_45.6_309768.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_45.7_288224.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_45.8_321685.jpg
NO MATCH,NO MATCH,NO MATCH,NO MATCH,NO MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_45.8_422698.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_45.9_304659.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_46.0_28394.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_46.0_375162.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_46.2_478725.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_46.5_300082.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_46.6_376248.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_46.8_319140.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_46.8_378091.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_46.8_508343.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_46.9_313661.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_47.0_297451.jpg
